"","VIP","Coefficient"
"live_weight_LW",0.0179686831957728,-3.87213121461244e-06
"maintenaince_coefficient_Cfi",0.0679246511319755,-1.46373086455026e-05
"milk_yield",0.0256095058290958,5.51867745851126e-06
"activity_coefficient_Ca",0.0786330721724868,-1.69449018574488e-05
"growth_coefficient_C",0.0117409209393751,2.53009004401316e-06
"milk_fat",0.0100857546632334,2.17341276647454e-06
"pregnancy_coefficient_Cp",0.0142625811903334,3.07349098575163e-06
"mature_weight_MW",0.0264541530696789,5.70069329739963e-06
"weight_gain_WG",0.0457611708242391,-9.86122667060178e-06
"dig_energy",0.0274400123293867,-5.91313938324455e-06
"bo",0.0746050884595452,-1.60768982704914e-05
"mms_pasture",0.0402484335986539,-8.673268618441e-06
"mms_spread",0.00215701409727235,-4.64822131115999e-07
"mms_drylot",0.0147801375352536,-3.18502092128734e-06
"mms_solidstore",0.0185392319294513,3.99508065598575e-06
"mms_composted",0.0420220093184929,9.05546234023152e-06
"mms_liquid",0.0413170637897051,8.90355128715764e-06
"mms_biogas",0.010674124297534,2.30020249290487e-06
"mms_burn",0.0572567483379629,1.23384468450528e-05
"feed_prod_CO2",1.22652401626174,0.000264307733465756
"feed_trans_CO2",4.28358723185515,0.000923084438089694
"kg_FPCM_year",1.4546944307073,-0.000313476933812811
