"","VIP","Coefficient"
"live_weight_LW",2.42153327408082,2.61990348343836e-05
"maintenaince_coefficient_Cfi",0.127597492557556,1.38050184487527e-06
"milk_yield",2.79712017003365,3.02625817927219e-05
"activity_coefficient_Ca",0.209293523259614,2.26438693417123e-06
"growth_coefficient_C",0.0851165285715531,-9.20892114470073e-07
"milk_fat",0.360591009926846,3.90130357949551e-06
"pregnancy_coefficient_Cp",0.792318868137047,8.57225042019764e-06
"mature_weight_MW",0.167681685053175,-1.81418044295255e-06
"weight_gain_WG",1.57952565505301,1.70891922491729e-05
"dig_energy",1.41263032732194,-1.5283519557526e-05
"bo",0.201171528655721,2.17651351040718e-06
"mms_pasture",0.209156352551137,-2.26290285785971e-06
"mms_spread",0.368047552501116,3.98197734959745e-06
"mms_drylot",0.538198415193842,5.82287230094981e-06
"mms_solidstore",0.262647254559157,-2.84163122803362e-06
"mms_composted",0.526990858671132,-5.70161558856445e-06
"mms_liquid",0.0247692399036434,-2.67983176610729e-07
"mms_biogas",0.00683503725841682,-7.39495843993905e-08
"mms_burn",0.747819369188757,-8.09080177130332e-06
"feed_prod_CO2",1.18679244651936,1.28401360329631e-05
"feed_trans_CO2",0.271994514887306,2.94276103763172e-06
"kg_FPCM_year",0.265029190314289,2.86740184968476e-06
