"","VIP","Coefficient"
"live_weight_LW",2.76281046905023,0.347439607712764
"maintenaince_coefficient_Cfi",0.527885354596851,0.0663846769704378
"milk_yield",2.94649769510139,0.370539352872989
"activity_coefficient_Ca",0.177565539738184,0.022329907230715
"growth_coefficient_C",0.121943751859859,-0.0153351414379782
"milk_fat",0.734040046742246,0.0923098376607997
"pregnancy_coefficient_Cp",0.255334688407782,0.0321098334357903
"mature_weight_MW",0.213176688820142,-0.0268082179240611
"weight_gain_WG",1.6775827369344,0.210965860508905
"dig_energy",1.35634709350851,-0.170568595772314
"bo",0.049717059731428,0.00625221162407769
"mms_pasture",0.00309050193593301,0.000388648730082896
"mms_spread",0.00864591443575847,-0.00108727440898641
"mms_drylot",0.12215945371732,0.0153622672106573
"mms_solidstore",0.110851886665084,-0.0139402743867467
"mms_composted",0.0777049366712338,0.00977185116997172
"mms_liquid",0.0328504438993562,0.00413113583774211
"mms_biogas",0.0754938916875375,0.0094937993056197
"mms_burn",0.0300022713406205,0.0037729614469937
"feed_prod_CO2",0.0388450602236851,-0.00488499397149579
"feed_trans_CO2",0.0236231195167781,0.00297074572063666
"kg_FPCM_year",0.104880413652626,0.0131893266600902
