"","VIP","Coefficient"
"live_weight_LW",0.000587650505848634,-0.0566704787747771
"maintenaince_coefficient_Cfi",0.0834846334258401,-8.05089776915422
"milk_yield",0.0504463411128238,4.86482743543459
"activity_coefficient_Ca",0.072116892214476,-6.95464186428531
"growth_coefficient_C",0.0106757461422989,1.02952288671712
"milk_fat",0.0138618091582961,-1.33677305450593
"pregnancy_coefficient_Cp",0.00679975587645054,0.655739112337824
"mature_weight_MW",0.0187771546233219,1.81078775895032
"weight_gain_WG",0.039772883727093,-3.83552526652375
"dig_energy",0.0465595455885062,-4.49000164855868
"bo",0.0776677508261942,-7.48994271403595
"mms_pasture",0.0295413975939328,-2.84884489788126
"mms_spread",0.00569929295133265,0.549615216893776
"mms_drylot",0.0549175025803968,-5.29600695204333
"mms_solidstore",0.026480406273309,2.55365610464661
"mms_composted",0.0258710661115302,2.49489396905576
"mms_liquid",0.0645094116836098,6.22100927201621
"mms_biogas",0.00211733485916507,-0.204186636446658
"mms_burn",0.0647645805964376,6.24561666078635
"feed_prod_CO2",1.27990253255598,123.428276812681
"feed_trans_CO2",4.50810306211828,434.742004565018
"kg_FPCM_year",0.0012871131410539,-0.124123636778797
