"","VIP","Coefficient"
"bo",0.293605630780086,1.83292364046186e-05
"live_weight_LW",0.723325442762349,4.5155820079612e-05
"maintenaince_coefficient_Cfi",0.525774792626957,3.28231118866624e-05
"milk_yield",0.641777040492528,4.00649097327935e-05
"activity_coefficient_Ca",0.250509576326545,1.5638832381758e-05
"growth_coefficient_C",0.23480022754063,-1.46581278670162e-05
"milk_fat",0.239163382005934,1.49305112319127e-05
"pregnancy_coefficient_Cp",3.40711150331057,0.000212699436435028
"mature_weight_MW",0.18892734499781,1.17943717923978e-05
"weight_gain_WG",0.467389910315344,2.91782556640413e-05
"dig_energy",0.802876739625347,-5.01220549662584e-05
"mms_pasture",1.09089427184586,6.81024370955739e-05
"mms_spread",0.962365455424785,6.0078629600028e-05
"mms_drylot",0.79039095237825,4.93425912157105e-05
"mms_solidstore",1.58989225287388,9.92539239910711e-05
"mms_composted",1.29313737976227,8.07280864278281e-05
"mms_liquid",0.446787196219169,-2.78920677382776e-05
"mms_biogas",0.00163819404310854,1.02269312114334e-07
"mms_burn",0.494217125426118,3.08530272497785e-05
"feed_prod_CO2",0.361340264657364,-2.25577796849988e-05
"feed_trans_CO2",0.658957723373399,4.11374668131179e-05
"kg_FPCM_year",0.265491763101086,1.65741415668002e-05
