QQNO,system,animal_type,breed,age,live_weight_LW,mature_weight_MW,weight_gain_WG,milk_yield,milk_fat,kg_FPCM_year,Cfi,Ca,Cp,C,dig_energy,Ym,NEm,NEa,NEl,NEp,NEg,REM,REG,GE,EntFerm kgCH4,ASH,VS,bo,mms_pasture,mms_spread,mms_drylot,mms_solidstore,mms_composted,mms_liquid,mms_biogas,mms_burn,MMS%sold,MCFpasture,MCFspread,MCFdrylot,MCFsolidstore,MCFcomposted,MCFliquid,MCFbiogas,MCFburn,MCFsold,Sum of MCF*MMS,MMCH4EF,CP%,N_intake,N_retention,Nex,EF3pasture dep,EF3spread,EF3drylot,EF3solidstore,EF3composted,EF3liquid,EF3biogas,EF3burn,EF3sold,Fracgas/100pasture dep,Fracgas/100spread,Fracgas/100drylot,Fracgas/100solidstore,Fracgas/100composted,Fracgas/100liquid,Fracgas/100biogas,Fracgas/100burn,Fracgas/100sold,Fracleach/100pasture dep,Fracleach/100spread,Fracleach/100drylot,Fracleach/100solidstore,Fracleach/100composted,Fracleach/100liquid,Fracleach/100biogas,Fracleach/100burn,Fracleach/100sold,N2O_direct (kgN2O),EF4,N_volat (kgN2O),EF5,N_leach kgN2O,feed_kgCO2,feed transport_kgCO2,% of year present,EntFerm_kgCO2e,MMCH4_kgCO2e,N2O_direct_kgCO2e,N_volat_kgCO2e,Nleach_kgCO2e,feed_kgCO2,feed_transport_kgCO2,On-farm total kgCO2e,ann FPCM adjusted
1,2,6,1,60,375.944516,348.7317615,0,7.322924658,4,2701.199896,0.375479452,0.004418954,0.065705629,0.8,54.00238804,6.5,32.05745129,0.141660405,22.4813787,2.106355,0,0.464509722,0.230930366,226.380998,96.51193492,0.08,5.643917914,0.17,0.266666667,0,0,0.733333333,0,0,0,0,0,0.015,0,0,0.04,0,0,0,0,0,0.033333333,7.82124738,10.20799406,0.200402895,0.037877197,70.37645126,0.02,0,0,0.005,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0.995324096,0.01,0.302283614,0.0075,0.249,615.2222358,0.721237142,1,2412.798373,195.5311845,296.6065807,90.08051711,74.15164518,615.2222358,0.721237142,3685.111773,2701.199896
1,2,6,1,48,364.0121775,348.7317615,0,7.77044926,4,2866.277848,0.375479452,0.004383465,0.083629893,0.8,53.7126571,6.5,31.29126423,0.137164157,23.85527923,2.616885087,0,0.462806787,0.22828143,232.9199315,99.29964736,0.08,5.840591062,0.17,0.266666667,0,0,0.733333333,0,0,0,0,0,0.015,0,0,0.04,0,0,0,0,0,0.033333333,8.09379375,10.32078753,0.208469778,0.040191979,73.03320216,0.02,0,0,0.005,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,1.032898145,0.01,0.313694992,0.0075,0.258,613.2046397,0.721237142,1,2482.491184,202.3448438,307.8036471,93.48110765,76.95091179,613.2046397,0.721237142,3776.997571,2866.277848
1,2,7,1,5,118.6274288,348.7317615,0.419705907,0,0,0,0.322,0.003862025,0,0.8,54.06231541,6.5,11.57429933,0.044700239,0,0,4.47343148,0.464858796,0.231473543,81.98052982,34.95036963,0.08,2.041411606,0.135,0.266666667,0,0,0.733333333,0,0,0,0,0,0.015,0,0,0.04,0,0,0,0,0,0.033333333,2.246522437,9.59657994,0.068226143,0.012965274,24.57967381,0.02,0,0,0.005,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0.347626815,0.01,0.105575551,0.0075,0.087,96.31300888,0,0.367123288,320.7773651,20.61876757,38.031326,11.55025456,9.5078315,35.35874847,0,435.8442932,0
2,3,1,8,36,143.9477526,483.2014829,0,0,0,0,0.37,0.05408923,0,1.2,60.17517855,6.5,15.37642558,0.831699022,0,0,0,0.495435267,0.279340719,54.36613525,23.17765604,0.08,1.188064649,0.135,0.6,0,0,0,0.4,0,0,0,0,0.015,0,0,0,0.005,0,0,0,0,0.011,0.431453697,11,0.051861462,0,18.92943376,0.02,0,0,0,0.006,0,0,0,0,0.2,0,0,0,0.3,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,0.428346044,0.01,0.071391007,0.0075,0.067,0,0,1,579.4414011,10.78634242,127.6471211,21.27452018,19.94486267,0,0,759.0942475,0
2,3,9,8,30,276.068987,348.7317615,0.26005656,0,0,0,0.322,0.073140822,0,0.8,60.17517855,6.5,21.80816317,1.595066976,0,0,4.985673148,0.495435267,0.279340719,108.1604026,46.11151037,0.08,2.363632253,0.135,0.6,0,0,0,0.4,0,0,0,0,0.015,0,0,0,0.005,0,0,0,0,0.011,0.858369007,11,0.103177403,0.00554334,37.4509913,0.02,0,0,0,0.006,0,0,0,0,0.2,0,0,0,0.3,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,0.847462432,0.01,0.141243739,0.0075,0.132,0,0,1,1152.787759,21.45922518,252.5438046,42.0906341,39.45996947,0,0,1508.341393,0
2,3,4,8,48,407.2653819,348.7317615,0,3.898027397,4,1437.861468,0.370394521,0.070075487,0,0.8,60.33046136,6.5,33.57938017,2.353091408,11.96694411,0,0,0.496096985,0.280383928,160.0394247,68.22884728,0.08,3.484953937,0.17,0.6,0,0,0,0.4,0,0,0,0,0.015,0,0,0,0.005,0,0,0,0,0.011,1.593699058,11.2546963,0.156201203,0.020162211,55.86392208,0.02,0,0,0,0.006,0,0,0,0,0.2,0,0,0,0.3,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,1.264120751,0.01,0.210686792,0.0075,0.198,180.5325923,0.576989713,1,1705.721182,39.84247644,376.7079838,62.78466397,58.86062247,180.5325923,0.576989713,2425.026511,1437.861468
3,3,5,1,41.51857694,346.4412989,348.7317615,0,5.765196319,4,2126.602201,0.386,0.064577527,0,0.8,62.01104657,6.5,30.99627807,2.001662994,17.6991527,0,0,0.502945223,0.291202089,162.5523737,69.30018088,0.08,3.40345351,0.17,0.6,0,0,0,0.4,0,0,0,0,0.015,0,0,0,0.005,0,0,0,0,0.011,1.556428219,11.89078143,0.167620574,0.029819981,59.35707815,0.02,0,0,0,0.006,0,0,0,0,0.2,0,0,0,0.3,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,1.343165883,0.01,0.22386098,0.0075,0.21,995.909569,6.923876561,1,1732.504522,38.91070548,400.263433,66.71057217,62.54116141,995.909569,6.923876561,3303.76384,2126.602201
3,3,5,1,53.94431275,367.9751037,348.7317615,0,4.820588258,4,1778.16557,0.375479452,0.067395319,0.100711744,0.8,61.90361206,6.5,31.54641431,2.126080667,14.79920595,3.177094394,0,0.50252407,0.290535602,166.0302941,70.78290617,0.08,3.485167273,0.17,0.6,0,0,0,0.4,0,0,0,0,0.015,0,0,0,0.005,0,0,0,0,0.011,1.593796618,11.83865314,0.170456374,0.024934077,60.6652636,0.02,0,0,0,0.006,0,0,0,0,0.2,0,0,0,0.3,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,1.372768251,0.01,0.228794708,0.0075,0.214,995.909569,6.923876561,1,1769.572654,39.84491544,409.0849387,68.18082311,63.91952167,995.909569,6.923876561,3353.436299,1778.16557
3,3,1,1,48,385.4056571,483.2014829,0,0,0,0,0.37,0.069189326,0,1.2,61.71613282,6.5,32.18401989,2.226790639,0,0,0,0.501783829,0.289364538,111.1167514,47.37187651,0.08,2.342856522,0.135,0.6,0,0,0,0.4,0,0,0,0,0.015,0,0,0,0.005,0,0,0,0,0.011,0.85082416,10.75988889,0.103683807,0,37.84458954,0.02,0,0,0,0.006,0,0,0,0,0.2,0,0,0,0.3,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,0.856368998,0.01,0.142728166,0.0075,0.134,273.7792,2.307958854,1,1184.296913,21.270604,255.1979613,42.53299355,39.87468145,273.7792,2.307958854,1819.260312,0
4,3,5,4,53.3315794,300.2380154,348.7317615,0,5.751308721,4,2121.479497,0.375479452,0.008354779,0.1,0.8,58.36394018,6.5,27.08229322,0.226266574,17.65651777,2.708229322,0,0.487330026,0.266590487,167.6129247,71.45762155,0.08,3.814231969,0.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.005,0.792854864,11.19043998,0.162659068,0.029748149,57.60439547,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.543127157,0.01,0.271563579,0.0075,0.204,1189.872566,6.289187876,1,1786.440539,19.8213716,161.8518929,80.92594643,60.69445982,1189.872566,6.289187876,3305.895963,2121.479497
